Название;Место;Дата проведения;Организатор;Ссылка
International Conference on Architecture Engineering and Technology (AET) Egypt 2021 - международная конференция по проектированию и архитектуре;Онлайн, Веб; с 11 по 13 января ;IEREK;https://expomap.ru/conference/international-conference-on-architecture-engineering-and-technology-aet-egypt-2021/
Landscape Ontario Congress 2021 - конференция по ландшафтному дизайну;Онлайн, Веб; с 12 по 14 января ;Landscape Ontario Horticultural Trades Association;https://expomap.ru/conference/landscape-ontario-congress-2021/
PCMA Convening Leaders 2021 - встреча руководителей индустрии встреч;Онлайн, Веб; с 11 по 15 января ;PCMA;https://expomap.ru/conference/pcma-convening-leaders-2021/
Vancouver Resource Investment Conference (VRIC) 2021 - инвестиционный конгресс;Канада, Ванкувер; с 17 по 18 января ;Cambridge House International;https://expomap.ru/conference/vancouver-resource-investment-conference-vric-2021/
ASPN Annual Meeting 2021 - собрание Американского общества по восстановлению периферических нервов;Онлайн, Веб; с 15 по 22 января ;ASPN;https://expomap.ru/conference/aspn-annual-meeting-2021/
International Luxury Property and Residency Conference Davos 2021 - международная выставка и конференция элитной недвижимости;Швейцария, Давос; с 21 по 25 января Новые даты не анонсированы;ILP Group Ltd. UK;https://expomap.ru/conference/international-luxury-property-and-residency-conference-davos-2021/
Facilities Management (FM) Forum 2021 - форум по управлению и облслуживанию объектов недвижимости;Онлайн, Веб; с 25 по 26 января ;Forum Events Limited;https://expomap.ru/conference/facilities-management-fm-forum-2021/
Банковское самообслуживание, ритейл и НДО 2021 - международный ПЛАС-форум;Россия, Москва , Radisson SAS Slavyanskaya; с 26 по 27 января ;Журналы «ПЛАС» и Retail & Loyalty;https://expomap.ru/conference/bankovskoe-samoobsluzhivanie-ritejl-i-ndo-2021/
Платежный бизнес 2021 - международный ПЛАС-Форум;Россия, Москва , Radisson Slavyanskaya Hotel & Business Center; с 26 по 27 января ;PLUS-Alliance Group;https://expomap.ru/conference/platezhnyj-biznes-2021/
Управление корпоративным автопарком в России 2021 - конференция;Россия, Москва; 28 января 2021 ;Continent Group;https://expomap.ru/conference/upravlenie-korporativnym-avtoparkom-v-rossii-2021/
EFEA 2021 - евразийский ивент форум;Россия, Санкт-Петербург , Конгрессный центр «ПетроКонгресс»; с 27 по 29 января ;Выставочный научно-исследовательский центр (ВНИЦ) R&C;https://expomap.ru/expo-b/click/5720//
Event LIVE 2021 - форум для профессионалов ивент индустрии;Россия, Санкт-Петербург , Конгрессный центр «ПетроКонгресс»; 29 января 2021 ;Выставочный научно-исследовательский центр (ВНИЦ) R&C, Event-Live;https://expomap.ru/conference/event-live-2021/
Digital Pathology & AI Congress: Asia 2021 - конференция по цифровому диагностированию патологий;Южная Корея, Сеул; с 28 по 29 января Новые даты не анонсированы;Global Engage Ltd;https://expomap.ru/conference/digital-pathology-ai-congress-asia-2021/
Go West 2021 - международная конференция по решениям и технологиям для событийной индустрии;Канада, Эдмонтон; с 31 января по 2 февраля ;Timewise Event Management Inc.;https://expomap.ru/conference/go-west-2021/
International Conference on Waste Management and Remediation Engineering (ICWMRE) 2021 - международная конференция по управлению отходами;Онлайн, Веб; с 1 по 2 февраля ;;https://expomap.ru/conference/international-conference-on-waste-management-and-remediation-engineering-icwmre-2021/
SuperReturn US West 2021 - финансовая конференция;США, Лос-Анджелес; с 2 по 3 февраля ;Informa PLC;https://expomap.ru/conference/superreturn-us-west-2021/
Aerospace & Defense Sevilla 2021 - международная конвенция авиационно-космической промышленности;Испания, Севилья; с 2 по 4 февраля ;abe (advanced business events);https://expomap.ru/conference/aerospace-defense-sevilla-2021/
Cospar 2021 - международная конференция по космосу (оффлайн+онлайн);Австралия, Сидней , ICC Sydney; с 28 января по 4 февраля ;Zarm Fab mbH  Am Fallturm;https://expomap.ru/conference/cospar-2021/
Big Trade-Marketing Show 2021 - бизнес-форум по торговому маркетингу;Украина, Киев; 5 февраля 2021 ;TradeMasterGroup;https://expomap.ru/conference/big-trade-marketing-show-2021/
